Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
90.91130900382996	10	0.2291644015961577	0.6926919592404249	1.8221967733522697	-1.3805976860785911	4600000
194.90263652801514	20	234.55516431241503	204.43702036963367	579.5901455060302	0.7299825314249233	9200000
273.41972970962524	30	895.4888673793347	438.61313130537195	1365.0220580396708	23.62524768730873	13800000
339.94827699661255	40	1010.7774602729645	389.16109700339956	1398.4224539611023	3.9351603032337152	18400000
408.23946166038513	50	1374.057759884665	327.2975549826139	1644.9846962132724	76.64060311982757	23000000
476.3266649246216	60	1278.7451831454057	416.91439924489305	1643.6269569811411	105.72996266104747	27600000
544.1907126903534	70	1516.1891070766503	506.0784823993517	1914.5090414816514	49.34438524901634	32200000
612.2255487442017	80	1930.3893939088593	194.26993496975314	2004.8838611133397	7.085774013681657	36800000
681.3911533355713	90	2171.8395300725633	40.350996085736135	2262.29920322774	2059.4558745101094	41400000
750.2899463176727	100	2065.831363543097	399.44246314225495	2268.597259193659	23.394340770566487	46000000
812.3548097610474	110	2349.384742954207	26.67923874995792	2413.728407487273	2276.6537712151185	50600000
873.7709577083588	120	1847.3970467123922	557.7597346904538	2304.138351045549	161.182324685622	55200000
934.511462688446	130	2192.485270818335	407.0506292426909	2440.026064341888	-2.249455895740539	59800000
994.8902530670166	140	2378.941197694836	416.5640076923403	2536.7125849723816	-9.484880049712956	64400000
1056.1408751010895	150	2542.823410464083	193.647149500784	2644.086819380522	662.2323805652559	69000000
1116.8834822177887	160	2589.5951378269597	28.98710263994045	2653.843855072744	2485.5058038476855	73600000
1177.8134908676147	170	2597.504761163993	27.572684652095	2648.5762849655002	2500.2674875844386	78200000
1238.324678182602	180	2712.147409033743	37.28707322693014	2784.859802901745	2599.0496237858897	82800000
1298.69371342659	190	2629.8634929457185	24.55916253043573	2681.914064846933	2552.6773007484153	87400000
1358.9994087219238	200	2704.4710184003316	22.578118136972993	2745.752231357619	2642.4789460524917	92000000
1419.9816222190857	210	2752.7806358056087	25.311029309457272	2810.7724373424426	2680.4806927368045	96600000
