Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps	gradnorms	maxnorms
37.557915449142456	0	-0.30152912016587186	0.7031112561796045	1.3895061342589152	-2.04430108904604	0	0.0	0
638.5874128341675	800	3132.425848899413	19.315440706437702	3173.6611795835197	3068.905099719297	1600000	0.9987515605493132	0.09901475429766744
1238.6988763809204	1600	3293.6924060158944	37.59643966287819	3335.6778246201575	3045.924098182819	3200000	0.9990009990009989	0.09901475429766744
1837.239103794098	2400	3300.47033030714	69.76242964171225	3455.120412327349	3113.083200729743	4800000	0.9990009990009989	0.09901475429766744
2435.6999883651733	3200	3650.2873558110628	80.19347649578127	3748.9943768531084	3169.3155536698177	6400000	0.9990009990009989	0.09901475429766744
3027.76402258873	4000	3436.5631934343987	1361.113535030403	3778.9813102185726	-4362.09363691695	8000000	0.9990009990009989	0.09901475429766744
3617.5050086975098	4800	3902.4886856593284	578.8907869139507	4132.139961227775	-1104.8002677671611	9600000	0.9990009990009989	0.09901475429766744
4208.060951948166	5600	3634.6281398448523	1083.1295761921106	3934.997853360139	-5715.087146944134	11200000	0.9990009990009989	0.09901475429766744
4799.5901572704315	6400	3206.1917023679857	1682.0682850592157	3836.224965814501	-5536.2212744653225	12800000	0.9990009990009989	0.09901475429766744
5390.754544973373	7200	3387.6970066203253	1651.3194781243524	4145.524800695479	-4220.7382959197275	14400000	0.9990009990009989	0.09901475429766744
5980.925261497498	8000	3609.1975985605327	1615.544536993039	4144.708087680861	-5934.656828998588	16000000	0.9990009990009989	0.09901475429766744
6572.222989082336	8800	2463.025500907469	2807.2436846947317	4177.986822929233	-4446.00902364403	17600000	0.9990009990009989	0.09901475429766744
7165.764689445496	9600	2499.7722547843623	2030.8979677189018	3875.6954436465167	-4589.947255284758	19200000	0.9990009990009989	0.09901475429766744
7755.843352794647	10400	3795.671128675199	1920.5858107292001	4747.679607490078	-4518.535583731718	20800000	0.9990009990009989	0.09901475429766744
8347.665515184402	11200	3861.8408424775726	2061.107417645847	4631.253570727538	-5738.107741065323	22400000	0.9990009990009989	0.09901475429766744
8938.282107830048	12000	4625.740076259347	92.34816901415333	4857.491742536426	4380.9647571961395	24000000	0.9990009990009989	0.09901475429766744
9530.617191553116	12800	3709.780166928147	2457.6607630213807	4799.08271015808	-5593.319329686463	25600000	0.9990009990009989	0.09901475429766744
10118.382109165192	13600	3593.0583916330133	3349.1492074498715	5155.4438654743135	-8703.0997181423	27200000	0.9990009990009989	0.09901475429766744
10708.098465681076	14400	4499.264570184571	2002.5157059877727	5225.840206794441	-8312.23642624868	28800000	0.9990009990009989	0.09901475429766744
11297.289239406586	15200	4604.821849247635	1865.1778927938933	5150.210185263306	-7288.545454517007	30400000	0.9990009990009989	0.09901475429766744
11884.091565132141	16000	4642.017153302806	2415.8397129370696	5397.937432266772	-9672.091419519857	32000000	0.9990009990009989	0.09901475429766744
12470.213094472885	16800	4399.409212045601	1723.4354544333962	5045.229572317563	-11372.67709690961	33600000	0.9990009990009989	0.09901475429766744
13057.603514909744	17600	5192.146922962485	1220.629446402913	5555.231581270695	-6866.71064773947	35200000	0.9990009990009989	0.09901475429766744
13644.763859510422	18400	4043.1298833771525	3176.2687533450307	5209.929454341531	-11383.02572119888	36800000	0.9990009990009989	0.09901475429766744
14232.865575313568	19200	4773.859313522127	221.95061611241604	5143.825357250869	3960.9248952157795	38400000	0.9990009990009989	0.09901475429766744
14819.820766210556	20000	4449.518007579018	1929.1920807535741	5164.468707732856	-7148.699561595917	40000000	0.9990009990009989	0.09901475429766744
15406.879136562347	20800	4471.279785394146	2481.0846255665347	5277.845568798482	-11376.657829303294	41600000	0.9990009990009989	0.09901475429766744
15997.08205461502	21600	4173.8276266536595	2389.632530544741	4991.065910443664	-8951.808383438736	43200000	0.9990009990009989	0.09901475429766744
16584.654414653778	22400	4796.518855235757	1744.2244796560153	5194.145003413083	-11425.563198646065	44800000	0.9990009990009989	0.09901475429766744
17170.07852244377	23200	4878.039107316825	1427.0481456836924	5368.27029401809	-8934.3638826143	46400000	0.9990009990009989	0.09901475429766744
17762.527411937714	24000	5078.117717154425	205.07680678140716	5395.600835286081	4114.298423919827	48000000	0.9990009990009989	0.09901475429766744
18350.011376857758	24800	5004.554441032861	162.67596442517876	5340.44477811642	4488.173849969055	49600000	0.9990009990009989	0.09901475429766744
18505.957443237305	25000	4920.433379642741	151.3500621787326	5237.521991050802	4499.75752071524	50000000	0.9990009990009989	0.09901475429766744
