Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps	gradnorms	maxnorms
7.9869794845581055	0	142.0647796356678	35.468679014382545	364.53882426023483	95.89166283607483	0	0.0	0
14.118432760238647	10	328.02848611712454	12.31650962143762	348.18709844350815	286.2007267475128	58479	0.9090909090909091	0.17407765595569785
21.455906867980957	20	329.921092453599	2.1267209959557647	336.36482334136963	325.3518850207329	141818	0.9523809523809523	0.17407765595569785
29.140918016433716	30	379.7120248699188	1.2933771577065787	382.3629325032234	376.4758580327034	236286	0.967741935483871	0.17407765595569785
36.256359577178955	40	381.7597217005491	1.134278762320269	385.29303020238876	379.3008931875229	322984	0.975609756097561	0.17407765595569785
44.050487995147705	50	618.9145205640793	1.5236579633045138	622.2525469064713	615.8287256360054	417729	0.9803921568627451	0.17407765595569785
53.48436260223389	60	678.4020540875197	13.781567402378762	799.679925262928	655.8536727428436	534141	0.9836065573770492	0.17407765595569785
66.94312453269958	70	1366.0250745230912	8.975320975751446	1385.3733773827553	1342.9979690909386	696167	0.9859154929577465	0.17407765595569785
87.97396874427795	80	2652.5014187324045	10.522067012735274	2677.439263999462	2630.0141108632088	922909	0.9876543209876543	0.17407765595569785
111.70437860488892	90	2807.776528480053	20.227001722853235	2855.286229431629	2754.555304825306	1180313	0.989010989010989	0.17407765595569785
138.01868772506714	100	2903.2941230517627	141.8041980852102	2955.7902160286903	1500.8865922689438	1490970	0.9900990099009901	0.17407765595569785
163.78397226333618	110	2923.160749016404	167.8897432390538	3007.6814535856247	1509.7858856916428	1777657	0.990990990990991	0.17407765595569785
189.18400287628174	120	2854.275309688449	387.36943928034464	3030.4444758296013	1310.0244438648224	2072976	0.9917355371900827	0.17407765595569785
216.2140769958496	130	2989.444238372445	16.41418502877448	3029.0798200964928	2957.653823494911	2381726	0.9923664122137404	0.17407765595569785
244.433739900589	140	3019.835561957955	19.948403148215828	3058.809494674206	2979.5335410237312	2709666	0.9929078014184397	0.17407765595569785
271.72122979164124	150	3125.4736983525754	14.764086164696975	3149.403265476227	3092.3911306858063	3034752	0.9933774834437086	0.17407765595569785
299.9895055294037	160	3106.226227192879	217.9185689409486	3219.0102472901344	2085.5823714137077	3367702	0.9937888198757764	0.17407765595569785
328.9611167907715	170	3150.668218495846	16.544790898584726	3182.1201743483543	3119.82036113739	3709417	0.9941520467836257	0.17407765595569785
357.64649868011475	180	2821.0415246766806	599.7872437486998	3254.7077040076256	1127.7994780540466	4057039	0.994475138121547	0.17407765595569785
385.98515725135803	190	2544.03168307662	712.569420927197	3294.175502896309	1120.330364704132	4410727	0.9947643979057592	0.17407765595569785
414.4805405139923	200	2651.044789506197	736.8427226302774	3310.9512508511543	1083.437030673027	4769259	0.9950248756218906	0.17407765595569785
442.6463186740875	210	3114.5805613273383	398.66957737452094	3251.215984046459	839.2339856624603	5113424	0.995260663507109	0.17407765595569785
472.3355951309204	220	3073.246758109331	417.58549934838635	3293.772260785103	1370.833090186119	5470139	0.995475113122172	0.17407765595569785
503.2506663799286	230	3192.598640176058	171.49869747426533	3274.5584001541138	1878.5583236813545	5841368	0.9956709956709957	0.17407765595569785
531.9629709720612	240	2800.376074563861	822.7468674027317	3278.3628047704697	922.96813839674	6197051	0.995850622406639	0.17407765595569785
562.0052683353424	250	2460.5940356504916	974.1593758868848	3303.0767825841904	894.8134224414825	6582378	0.9960159362549801	0.17407765595569785
592.2760972976685	260	2596.7502014440297	876.5158936148102	3326.348657131195	681.6800111532211	6964820	0.9961685823754789	0.17407765595569785
623.8088977336884	270	2357.9209441518783	939.7682762856825	3331.2691264748573	915.4440488815308	7372969	0.996309963099631	0.17407765595569785
654.8999037742615	280	2541.5820366883277	898.404763986752	3394.139012157917	631.0123645067215	7774434	0.99644128113879	0.17407765595569785
685.9089078903198	290	2819.7581523936988	745.6214873453939	3328.7114053964615	1135.1630421876907	8172253	0.9965635738831615	0.17407765595569785
715.3109889030457	300	2510.8678091299535	836.2210601871737	3364.081190109253	638.1996653079987	8546556	0.9966777408637874	0.17407765595569785
746.383761882782	310	2849.8628895896672	702.1117743739761	3393.796193599701	1367.344204068184	8945501	0.9967845659163987	0.17407765595569785
777.3393547534943	320	3106.8945398008823	426.55463404240845	3356.5243206620216	881.8139618635178	9320018	0.9968847352024922	0.17407765595569785
810.1800315380096	330	3181.969600623846	379.24576156417055	3341.9947036504745	874.6710910201073	9726917	0.9969788519637462	0.17407765595569785
841.6427526473999	340	2732.118724219799	926.8385248034031	3367.0748456716537	631.3331525921822	10125241	0.9970674486803519	0.17407765595569785
874.3079941272736	350	3207.240886711478	340.1662254896942	3376.594379365444	1615.9009683728218	10539829	0.9971509971509972	0.17407765595569785
907.1797964572906	360	2962.1567572945355	669.4619158821628	3414.4740437865257	1376.6308307647705	10961177	0.997229916897507	0.17407765595569785
939.8485975265503	370	3277.936176099777	222.92934246536092	3352.3354848623276	1309.3339955210686	11368925	0.9973045822102425	0.17407765595569785
973.6927378177643	380	3084.6813702327013	498.0624762271754	3398.8761627674103	1090.2318969368935	11793508	0.9973753280839895	0.17407765595569785
1009.005616903305	390	3153.037850704789	392.0893915670483	3392.730305671692	1381.3551540970802	12235608	0.9974424552429667	0.17407765595569785
1044.4979882240295	400	3029.7752483189106	613.7467712442194	3432.0789009332657	1139.148198902607	12686636	0.9975062344139651	0.17407765595569785
1077.40598654747	410	3102.795841909051	519.7364966840825	3376.7388318777084	1390.522506058216	13101745	0.9975669099756691	0.17407765595569785
1112.4760372638702	420	3097.266995022893	584.602941828722	3419.0403467416763	1395.2763760089874	13547692	0.997624703087886	0.17407765595569785
1146.3643622398376	430	3349.509332983494	19.8304814365731	3406.1092587709427	3314.7692949175835	13966321	0.9976798143851509	0.17407765595569785
1183.4079747200012	440	3344.9523948800565	24.842310334856215	3410.5204291939735	3297.394950211048	14430205	0.9977324263038548	0.17407765595569785
1219.4169280529022	450	3311.1951702034476	28.471269611696698	3367.492000043392	3258.212848484516	14890793	0.9977827050997783	0.17407765595569785
1257.4390320777893	460	3342.61792979002	26.308893914129317	3403.9213268756866	3281.1172239780426	15334212	0.9978308026030369	0.17407765595569785
1297.2374665737152	470	3320.9571619957687	328.36969661160487	3412.6925285458565	900.0222793221474	15785948	0.9978768577494692	0.17407765595569785
1335.2663547992706	480	3360.195323522091	18.83687022222609	3415.509698033333	3323.320290327072	16224712	0.997920997920998	0.17407765595569785
1373.8427035808563	490	3312.2389985769987	362.2787796997704	3419.3283576369286	685.4989284873009	16666916	0.9979633401221996	0.17407765595569785
1415.261314868927	500	3344.2085871082545	24.31913717197797	3400.904531598091	3304.540769279003	17128757	0.998003992015968	0.17407765595569785
1454.6085946559906	510	3315.935710684061	346.78600687662043	3418.755391716957	640.2951416373253	17596323	0.9980430528375733	0.17407765595569785
1494.8644800186157	520	3377.6634086579083	22.271477798341444	3424.4644142985344	3328.1068794727325	18069022	0.9980806142034548	0.17407765595569785
