Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps	gradnorms	maxnorms
7.965796709060669	0	95.59098316907883	9.885925953583445	130.82640382647514	79.12662926316261	0	0.0	0
31.631009817123413	800	22.230054375444308	1.2456514083999501	24.343335509300232	19.569079726934433	30209	20.08141478463873	8.658846457392366
66.47109293937683	1600	100.8052734085601	2.549028670202041	108.28766840137541	96.23520504310727	98351	20.119329680779686	8.739200335301073
177.7579312324524	2400	493.56115064525045	171.2236096064634	786.630344286561	-0.3902603602036834	416785	20.21978755412519	8.739200335301073
343.5908079147339	3200	384.7476026235311	14.747523576600452	412.14936888217926	348.36014890670776	912295	20.200008395989883	8.956242293644479
477.3267467021942	4000	564.568753619605	53.57921841876006	664.3450706452131	315.10724760591984	1304276	20.15227983069201	8.869517895026563
650.5615880489349	4800	527.995584167742	5.587219350225153	540.8607514146715	514.4310179371387	1757764	20.166462339334245	9.842306608497754
796.3003599643707	5600	560.4165602651285	15.513578436861676	603.767084479332	524.2099612355232	2079798	20.151807701341454	9.08749978866061
953.391420841217	6400	508.1622153392225	8.401098784350893	536.9518858194351	493.0776337981224	2432893	20.165740925477454	9.100614572232056
1110.2119829654694	7200	586.8326358172297	27.662857096180712	630.1741687208414	388.93286392092705	2784753	20.14314626714308	9.103676480075528
1276.0463225841522	8000	553.5659509156644	19.458339072764556	614.0659473538399	522.807668030262	3159965	20.13179175832331	8.647169317689457
1436.3955836296082	8800	580.723357935152	48.29442157307499	650.3006680756807	398.49021931085736	3521268	20.13973572738434	9.55724851087821
1588.9436602592468	9600	448.6498553939548	13.212915680051678	516.1585177332163	419.50212613865733	3866111	20.131556776107413	9.89336622396787
1759.4085743427277	10400	542.4233430707454	146.94269578028647	661.8275142014027	24.71769841760397	4255769	20.16134360866467	9.468113022916164
1923.5581266880035	11200	579.3472411697128	169.58666316015027	922.4801315452205	11.75266445428133	4627449	20.217278358952576	9.468113022916164
2204.998682498932	12000	1717.0261934789066	595.4488510041399	2220.3089605867863	-1.5456655845046043	5286916	20.192774223377448	8.925395869920886
2557.8870599269867	12800	1813.7755746714392	515.6213859708054	2312.2108830735087	304.9652741253376	6128675	20.155022910742417	9.424197703786076
2895.0803637504578	13600	984.853919356895	150.12989352728232	1499.814502581954	723.7505245059729	6935996	20.135062925081385	9.424197703786076
3246.8863315582275	14400	1264.6696094073013	642.6430934564755	2150.3139810934663	507.3336953520775	7778838	20.131571400642372	8.311162156774317
3524.0972578525543	15200	816.1614019927848	178.37737382790095	1313.733345322311	322.95303930714726	8437381	20.16821361692223	8.951327841536072
3857.4780621528625	16000	1293.354403653028	385.9168431869299	2111.3378676474094	523.878484390676	9231266	20.10050750731253	8.802013504779195
4189.870547771454	16800	1203.3630543807358	514.0846411112241	2238.3685060180724	455.109622836113	10022959	20.044845232915463	8.892158737497372
4462.085196018219	17600	635.9011447737389	146.14672595657237	932.2501384541392	36.64415059238672	10667917	20.123046428274357	8.895586930567235
4690.781651258469	18400	675.309273092915	237.35163317338328	1678.872277289629	294.6951496452093	11200716	20.104224134758265	8.584985711352079
4878.522175550461	19200	629.9694385516223	46.80342884539565	701.5179421044886	395.7885347381234	11631421	20.153688735567048	9.364597764354011
5079.603494167328	20000	777.0065680761123	34.27648833773078	852.7551754303277	577.3759817965329	12092718	20.161976512772263	8.840558822611106
5287.900643348694	20800	685.2419284082065	51.06004722200793	733.5329090990126	441.0539731308818	12571935	20.04486201687245	8.838991893845513
5498.628739833832	21600	798.8685751814977	91.8475888595297	998.9164508543909	150.9324196781963	13058336	20.06068004553559	9.957155185263815
