Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
10.548542499542236	10	273.99895144462585	10.152306201640233	298.1514286994934	252.786150932312	188781
20.836925983428955	20	306.24510331630705	8.98056706451838	328.0251431465149	282.91007137298584	413723
32.19500923156738	30	346.14280175685883	12.367649152050252	378.58728075027466	322.8648591041565	658804
44.53110122680664	40	370.56927131175996	22.525818267401753	436.05699348449707	335.60376167297363	925177
58.18668985366821	50	518.6672990369797	50.0765959498212	633.0779008865356	416.70797204971313	1222184
73.90926361083984	60	630.2046024480462	77.72681168871	909.4527382850647	465.09814167022705	1564794
91.08377242088318	70	619.6370046532154	69.60918336211472	841.485104560852	462.1958861351013	1936610
108.87408375740051	80	617.7223458981514	80.73413498176018	919.7027945518494	509.8595199584961	2329343
127.86735701560974	90	668.3362936881184	61.766795379293754	864.0273838043213	570.7618026733398	2749385
147.794025182724	100	789.7413891679048	92.43355096435624	1178.399248600006	518.8762788772583	3189581
168.16271114349365	110	751.2172095528664	98.44842050136333	1118.3891077041626	488.57183313788846	3642856
189.06260228157043	120	744.928140232116	77.90102014717118	1223.0789270401	593.9509687423706	4104723
210.5805447101593	130	776.8807904022863	105.36713667903024	1137.3496592640877	591.0551390647888	4582938
231.91012597084045	140	708.8913464609487	122.6411698468302	942.1494283676147	-303.5943088531494	5068310
253.58201265335083	150	793.5659409040213	150.0193431132055	1459.2836141586304	534.420403957367	5554400
276.16301345825195	160	789.9482849228382	103.90784420140872	1119.3401737213135	625.343156337738	6058703
299.96644473075867	170	839.0705513358116	151.73286022899964	1375.4812154769897	596.4649333953857	6579050
324.27786445617676	180	917.8036140140891	147.97454499608364	1511.209551334381	664.021806716919	7122472
349.3568470478058	190	881.2618895286322	94.66172350015458	1274.3320126533508	530.8570048809052	7688711
375.49906969070435	200	895.5125956359506	99.13504290525577	1146.1818509101868	625.3893413543701	8277498
402.1281156539917	210	1050.455382359028	244.85970921961092	2081.3372728824615	729.957772731781	8874956
429.2263855934143	220	992.576748676896	143.7736427042119	1593.2768306732178	756.1526799201965	9484535
457.51944637298584	230	1037.2225555944442	182.90798376053377	1791.4474482536316	696.9289741516113	10123277
487.55141401290894	240	1238.2541921203117	199.45036753001696	1790.3870495557785	859.2513880729675	10790487
519.8760969638824	250	1612.4178941376508	394.6689376783551	2858.551745414734	951.6615133285522	11499179
555.7335112094879	260	2338.521920456886	659.5513492670456	4221.469841241837	1161.2739248275757	12277153
595.0316047668457	270	2485.2127584217487	774.2193930287681	5018.387531757355	972.8368449211121	13130520
638.4190056324005	280	3149.074037425518	1369.4475484583468	7208.873967170715	950.5270748138428	14059197
685.8186304569244	290	3000.0415799633415	978.426320472925	6775.807163506746	1165.178566455841	15090477
737.5252997875214	300	3397.26480393745	1180.8654461632602	7049.912320256233	1255.3386442661285	16214166
804.4068162441254	310	6171.078120916895	1308.8096247364501	7038.622097969055	1690.6733951568604	17586334
887.5921256542206	320	6809.656176022738	644.8706179824101	7099.158524513245	2838.723870277405	19336109
997.7213594913483	330	6890.441299673915	65.95892188440423	7026.635737419128	6720.7530970573425	21650560
1128.7055456638336	340	6821.651230363846	46.36894330834287	6937.352559566498	6712.558927059174	24399392
1272.27348446846	350	6824.758967125415	58.65538621285082	6992.675141811371	6666.205330371857	27430101
1427.0263447761536	360	6844.05680141449	21.790499013469315	6896.859811067581	6792.718251943588	30781785
1589.5049567222595	370	7001.679962497949	43.024768610779354	7075.956262350082	6875.468803524971	34363103
1749.8874218463898	380	6831.001292862892	24.67518274432294	6901.095073699951	6782.339334487915	37959410
1915.6898400783539	390	6995.998158381879	27.399538811797814	7048.330689430237	6934.822839021683	41702623
2085.530178308487	400	6900.106558868885	20.020090909424596	6940.030505895615	6836.313431739807	45545582
2260.1829013824463	410	7017.765108878612	23.782902956433755	7076.7670702934265	6959.550897836685	49495206
2435.2078728675842	420	7007.674232692719	26.070013411278044	7074.96061706543	6935.0357031822205	53518778
2611.7504227161407	430	7068.384392242431	22.76286206956091	7115.8675084114075	6991.885403394699	57592811
2787.7993037700653	440	7012.179834036827	24.110798681515995	7073.180939435959	6939.874171972275	61668637
2966.324303627014	450	6984.036080007553	14.559959488491172	7020.286377429962	6931.591425895691	65852898
3148.6999232769012	460	7082.4769398903845	12.248641674417417	7110.315007448196	7051.2795531749725	70139624
3330.6897604465485	470	7053.42474221468	13.493486928364758	7084.297559976578	7013.096427202225	74403968
3512.868750810623	480	7140.8546788215635	24.366283212362323	7187.280551433563	7060.226258993149	78665008
3693.796455383301	490	7156.983046896457	16.00549802157545	7204.7486526966095	7111.583147525787	82908999
3876.863376379013	500	7086.702392265796	16.32915227698686	7119.0377452373505	7025.961630344391	87159898
4060.698338985443	510	7138.743574451208	15.005283719503216	7176.138567328453	7103.381368637085	91425023
4245.132703065872	520	7091.156709344387	15.694613515282022	7126.316712617874	7047.127966880798	95753881
4429.383087396622	530	7161.125067430735	17.643625382860872	7199.492884397507	7111.681692004204	100114952
4612.452497720718	540	7165.989334150553	19.34518859719609	7217.021961688995	7106.999522447586	104434406
4795.113766908646	550	7174.969227348566	18.703434432797078	7223.674491763115	7117.643941640854	108724990
4980.263775110245	560	7232.828985191583	19.27541968209634	7275.468947887421	7167.768622040749	113035129
5164.959413051605	570	7152.811577956676	17.004181379725747	7204.622069954872	7113.256495475769	117408962
5349.046254873276	580	7238.175646685362	16.848360876237624	7278.345041275024	7179.224210858345	121726067
5531.9092009067535	590	7279.808519275189	21.688810587866726	7324.125805854797	7219.116559743881	126043203
5718.9228501319885	600	7275.013900661468	20.235626757791227	7331.188810586929	7218.916371107101	130408365
5904.948859453201	610	7243.54500803113	17.055278165607728	7281.310961484909	7190.578555345535	134763576
6090.737445831299	620	7254.790954604149	11.236406597705779	7277.327435135841	7226.106051683426	139141596
6276.416393518448	630	7270.4205340969565	16.57063907002715	7313.013752937317	7229.7290610075	143513671
6461.6064016819	640	7240.542497401238	13.161685358443558	7273.57069003582	7207.475502610207	147884950
6645.094040155411	650	7362.586582735777	17.11469347389638	7406.332641243935	7295.999626994133	152230817
6830.034550666809	660	7310.9442402732375	17.399483402397436	7365.472042679787	7262.931770324707	156570973
7014.912618160248	670	7319.427766512632	18.17708752114231	7353.238913536072	7280.426637649536	160943624
7202.399981737137	680	7299.642897269726	14.595729555924494	7332.933423042297	7265.850129723549	165353131
7388.609217166901	690	7464.13921383977	17.66595856332469	7496.398704051971	7411.225732207298	169756934
7574.679397344589	700	7475.870815427304	19.647914309775473	7520.406289696693	7421.224016666412	174173935
7758.925432682037	710	7441.730942950248	18.73549185587095	7477.606836080551	7387.956397891045	178535481
7942.330857992172	720	7437.856690223813	16.380957653581874	7486.007349014282	7392.922178864479	182884239
8126.982101917267	730	7439.610673077703	20.881438064839458	7497.109536528587	7390.612238526344	187254993
8312.137131929398	740	7339.584112246037	14.545693079620495	7383.066738724709	7296.815355181694	191629410
8497.468801736832	750	7519.664708735347	20.420978147406846	7575.101909518242	7467.049374341965	196065598
8683.445835113525	760	7513.330389406681	18.457179378268876	7561.273572683334	7465.00811201334	200483044
8868.81083059311	770	7450.552642424107	23.5388106170739	7506.399338364601	7341.117011666298	204910686
9052.350254058838	780	7507.1092031002045	23.0388433675639	7560.720486879349	7443.891447067261	209337996
9235.225750923157	790	7523.513424118757	20.264405543208785	7564.981795310974	7482.669927120209	213751280
9419.14014172554	800	7553.641957423687	22.31213638398482	7615.436277747154	7476.2015100717545	218147888
9600.358304738998	810	7476.410229114294	19.43178834551856	7520.856780529022	7419.590688228607	222568193
9785.269122838974	820	7554.808814121485	20.541437884953943	7597.680489778519	7502.791241526604	226997942
9970.012865066528	830	7548.058579988479	17.802232763055684	7590.699818968773	7493.554578542709	231462050
10154.907725334167	840	7524.970805981159	17.436831804746287	7558.0101372003555	7482.547309041023	235913877
10338.671415090561	850	7443.608071120977	18.278786912772915	7494.750331759453	7399.658732533455	240371608
10522.826082706451	860	7618.4132642436025	26.074744578408932	7679.02112197876	7550.77997303009	244774594
10705.061128139496	870	7614.173606826067	17.64823886412095	7647.828657984734	7571.783626914024	249189325
10887.158298015594	880	7550.68351834178	15.606043786904626	7575.511682748795	7500.54552936554	253604041
11071.24202132225	890	7595.063576734066	20.031768321970524	7642.60688829422	7528.057983517647	258021161
11255.897881746292	900	7520.094964790344	18.839625474603984	7554.483085513115	7459.354867815971	262441918
11437.615095615387	910	7636.295785585642	20.475897199690735	7682.382575750351	7582.2149528265	266864359
11619.929851055145	920	7619.8959157168865	18.331518914754188	7681.2727682590485	7571.587208151817	271246239
11803.21871638298	930	7637.169702390433	18.559361027524808	7695.953441858292	7583.8020741939545	275673802
11985.16013264656	940	7615.452057158947	26.61461204563984	7671.175894618034	7549.349324584007	280064836
12168.147580623627	950	7614.413705854416	21.477270135496454	7662.959980607033	7540.5234941244125	284470524
12351.154103755951	960	7643.764502442479	18.404824393658018	7681.121584177017	7591.162978768349	288889433
12535.061487436295	970	7616.64487435162	18.755470438412733	7658.90983068943	7568.152884602547	293324733
12717.909464359283	980	7653.719536498189	21.11287960259402	7693.016167163849	7605.667778015137	297753872
12899.477185726166	990	7634.912087692022	23.8942829882288	7687.399103522301	7571.374989151955	302197973
13080.722436904907	1000	7730.78103236556	21.76288213286582	7782.763092041016	7671.016858100891	306634245
